CustomerID,Lookalikes
C0001,"[('C0069', 0.8731724816084885), ('C0127', 0.8293710316259443), ('C0091', 0.8074201814785507)]"
C0002,"[('C0134', 0.8929209829763454), ('C0133', 0.88409431391797), ('C0062', 0.8697623532996208)]"
C0003,"[('C0166', 0.975427573504624), ('C0031', 0.8979822000970947), ('C0159', 0.7922299924403576)]"
C0004,"[('C0065', 0.9105293665039891), ('C0017', 0.8593321825573677), ('C0075', 0.856717471402571)]"
C0005,"[('C0197', 0.9980125260821686), ('C0007', 0.9456782902553448), ('C0095', 0.91798155039062)]"
C0006,"[('C0185', 0.8794323562891727), ('C0196', 0.8542861502823743), ('C0079', 0.8344192769760906)]"
C0007,"[('C0005', 0.9456782902553448), ('C0197', 0.9233120771322861), ('C0140', 0.9188932278765142)]"
C0008,"[('C0162', 0.9430102469611448), ('C0113', 0.8917543869134613), ('C0098', 0.8518761797550507)]"
C0009,"[('C0083', 0.9243190063336812), ('C0077', 0.9237644108472245), ('C0033', 0.917630428746004)]"
C0010,"[('C0077', 0.9080703758503901), ('C0083', 0.8952693600508833), ('C0029', 0.839791924325294)]"
C0011,"[('C0126', 0.9422242343063997), ('C0153', 0.8045060049626443), ('C0064', 0.7662787129046525)]"
C0012,"[('C0065', 0.9479504376918332), ('C0136', 0.8794264939691679), ('C0104', 0.8731987879918831)]"
C0013,"[('C0105', 0.9432910173732106), ('C0188', 0.8227464267589135), ('C0102', 0.8118592122509491)]"
C0014,"[('C0151', 0.9968254953383069), ('C0097', 0.9892068412596307), ('C0060', 0.9825000044609117)]"
C0015,"[('C0123', 0.9844367549103225), ('C0014', 0.9398615222545152), ('C0151', 0.9226245358018244)]"
C0016,"[('C0183', 0.9998933775022509), ('C0107', 0.9878821053031479), ('C0105', 0.877604805766721)]"
C0017,"[('C0075', 0.9629582875229383), ('C0090', 0.9513881676895498), ('C0194', 0.9385384053957567)]"
C0018,"[('C0168', 0.8305653554386921), ('C0148', 0.8158154017918402), ('C0023', 0.7630716728688957)]"
C0019,"[('C0191', 0.91956540067927), ('C0174', 0.807862552004641), ('C0070', 0.6674117981155939)]"
C0020,"[('C0110', 0.9538226769272569), ('C0078', 0.9515959454733921), ('C0080', 0.9512983430298128)]"
